Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,314
"Nu: 0.0002, Gamma: 0.2",1,3,15,17,50,0,40,,,
"Nu: 0.0002, Gamma: 0.5",4,0,25,7,30.55555556,0,40,,,
"Nu: 0.0002, Gamma: 0.7",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.9",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.99",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0003, Gamma: 0.2",1,3,15,17,50,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,0,25,7,30.55555556,0,40,,,
"Nu: 0.0003, Gamma: 0.7",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0003, Gamma: 0.9",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0003, Gamma: 0.99",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.05",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.1",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0004, Gamma: 0.2",1,3,15,17,50,0,40,,,
"Nu: 0.0004, Gamma: 0.5",4,0,25,7,30.55555556,0,40,,,
"Nu: 0.0004, Gamma: 0.7",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0004, Gamma: 0.9",4,0,24,8,33.33333333,0,40,,,
"Nu: 0.0004, Gamma: 0.99",4,0,24,8,33.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.005",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.05",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.0625",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.1",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.005, Gamma: 0.2",4,0,30,2,16.66666667,0,40,,,
"Nu: 0.005, Gamma: 0.5",4,0,26,6,27.77777778,0,40,,,
"Nu: 0.005, Gamma: 0.7",4,0,24,8,33.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.9",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.005, Gamma: 0.99",4,0,24,8,33.33333333,0,40,,,
"Nu: 0.05, Gamma: 0.0001",4,0,32,0,11.11111111,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.05, Gamma: 0.0003",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.05, Gamma: 0.0004",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.05, Gamma: 0.005",4,0,32,0,11.11111111,0,40,,,
"Nu: 0.05, Gamma: 0.05",4,0,32,0,11.11111111,0,40,,,
"Nu: 0.05, Gamma: 0.0625",4,0,32,0,11.11111111,0,40,,,
"Nu: 0.05, Gamma: 0.1",4,0,32,0,11.11111111,0,40,,,
